"div" "final_result"
"11" "Best" "어느새 다읽었다.. 허무하네"
"12" "Best" "좋아. 빨랐어."
"13" "Best" "조승민 엄마 극혐이네 얘네 다 훈방시키라하고 이경우네 부모 찾는거보니 합의금주고 지아들 훈방하려한거같은데 일부러 어차피 소년원갈거라면서요 이런소리하고 경찰한테 손대지 말라고하고 옷입는거나 말하는게 돈좀 있는 엄마네 근데 제발 훈방해달라고 말하진 못하니까일부러 자기가 쎄게나감예로 전화로는 소년원보내라하고 전화도 안받더니 직접 찾아왔고 계속 애네 부모 어딨냐 한거 봐서 합의노렷네그리고 이경우엄마왔을때도 조승민 웃는게 합의 할줄알았나본대 이경우 엄마가 아들 다친거에 화가 많이났고그러는거 보니 합의안해준듯"
"14" "Best" "다음화 예고 보고 예측했던 베댓입니다제가 내용을 잘못썼네요 조승민이 다리다치게 했다는거 쓰려다가 너무 흥분해서 눈얘기로 넘어가고 그다음에 쭉이어나갔는데 제가 쓰려던 내용은 \"야 그거 알아? 이경우...\" 라는 말은 아버지때문에 눈이 그렇게 된게 애들한테 어쩌다가 퍼지게 되고 그걸 앞머리 까라던 경우 전여친인 예슬이가 듣고 충격을 먹은거죠. 그리고 조승민이 경우 다리를 다치게 했다는 내용도 돌아서 애들이 경우 많이 위로해줄거 같네요엉뚱한 내용써서 베댓이 되다니 너무 죄송하고 앞으로는 쓰더라도 제대로 쓰겠습니다"
"15" "Best" "승민이 어머니있는지 몰랐네 ㅋㅋ"
"16" "Common" "분량 조절 실패좀.....ㅠㅠ"
"17" "Common" "어우 조승민 잘잡혀갔다 어우"
"18" "Common" "저 경우 캐릭터 너무 좋네요 진짜..사이다도 잘 날리고 아닌것같으면서도 은근 효자고..진짜 경우한테 시집가고싶다..(흑심"
"19" "Common" "광대 배댓 경찰이 지 몸에 막 손대면 빡치는게당연하지않음? 뭘 이상한사람만들고 죠랄이야 아들때매존빡인데 누가어깨잡으면 기분나쁠수도잇지 ㅋㅋ"
"20" "Common" "브리트니 숏헤어~~~에베ㅔ베벱"
"21" "Common" "수순:정하여진 기준에서 말하는 전후 좌우 상하 따위의 차례 관계.오타 아닙니다."
"22" "Common" "네 다음화 경우 치질소문입니다 하하"
"23" "Common" "수순이 오타아니에요? 수준으로"
"24" "Common" "유니코 포에버!"
"25" "Common" "유니코 만세"
"26" "Common" "조승민 따까리 끝가지 모른다 하네"
"27" "Common" "치질이렠"
"28" "Common" "자세히 보니까 이경우가 조승민한테 엿날렸넼ㅋㅋㅋㅋ"
"29" "Common" "솔직히 이번엔 사이다 부족하다 쟨 좀 쳐맞아야지"
"30" "Common" "조승민 왜자꾸쳐웃지 불안하게"
"31" "Common" "조승민엄마사뢍해요 가시던길로 소년원보내요 제발"
"32" "Common" "크.... 사이다"
"33" "Common" "우리나라의 범죄자= '조'두순웹툰나라의 범죄자='조'승민"
"34" "Common" "그니까님들 누가 쳐때리면 맞고 드러눕는게 필승임."
"35" "Common" "제아래댓글님 이걸보실진모르겠지만 조승민이 일방적으로 맞아서 대응을 안했을경우 형사 또는 민원 으로 해결볼수 있었지만 쌍방폭행이 되버리면 조건이 많아집니다얼마나 맞았는지 무슨이유에서인지 보통 일반 폭행죄는 서로 합의를보고 고소취하 하는 상황으로 가지만 조승민이' 폭행치사 상해죄' 라고 나왔어요걍 서로 주먹다툼하면 애들 싸움이겠지만 소주병으로 상해를 가하고 이경우를 죽음에 까지 다다르게 할수있는 가능성이 있어서 죄가 더무겁지요 평소에 이경우에게악감정을 품고있었다는 주변진술도 리얼 현실재판으로갔다면 증인들까지 불러확인할수있는부분이라 선빵날린 경우는 무죄인거죠. 여담으론 경우 아버지도 충분히가정폭력 상해치사로 감빵갔을겁니다."
"36" "Common" "근데 의문점은 선빵친거도 이경운데 왜 이경우가 왜 형벌 1도 없이 피해자가 되잇는거지? 아직 급식이라 잘모르니까 누가 설명좀 ㅠㅠ"
"37" "Common" "이경우 애피소드 끝난지도 벌써 3년 넘었는데도 아직도 이경우가 누구를 좋아하고 아직 남유리한데 미련있는지 이런 떡밥들은 해결도 안되고 확실히 연애혁명이 엉뚱한 스토리에 비중을 두니까 진도가 진심 안나감"
"38" "Common" "호우 사건 끝인가? 그럼이제 보러가즈앗"
"39" "Common" "베댓 광대 웹툰 제대로 안봤네..."
"40" "Common" "광대 배댓조승민어머니 지아들 훈방 시킬생각 없는거 같은데?"
"41" "Common" "미성년자 수갑 안차는데"
"42" "Common" "감사합니다"
"43" "Common" "조승민 웃는거 ㅈㄴ못생겼네"
"44" "Common" "밥승민 다른 학생한테는 패드립 치고 다니길래 어머니 안계신줄 알았는데 계셧구나 ㅋㅋ"
"45" "Common" "음...,."
"46" "Common" "이경우가 처벌안받는이유:미성년자이고다른사람한텐 위협을안가함조승민이 처벌받는이유:미성년자지만 보호관찰중이라가중처벌? 그정도고 다른사람한테 흉기를휘두름"
"47" "Common" "작가의말ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"48" "Common" "가정환경이 중요해 이래서...최정우, 이경우, 조승민 셋 다 부모가 자식한테 관심이 없음 이경우 중딩때 엄마가 아빠한테 맞아서 그랬다지만 그럼에도 관심안줘서 애가 삐뚤어진 거임 경우 정신차리고 아빠랑 이혼하고 엄마가 경우한테 신경쓰긴 했는데 다른 부모는 그렇지도 않네"
"49" "Common" "경우 와중에 뻐큐 ㅋㅎㅋㅎㅋ"
"50" "Common" "설마 1년 6개월 뒤 조승민이랑 임정호 손잡고 이경우 다구리까는거 아님?! 둘다 이경우한테 악감정 있으니까...뭔가 조승미,임정호 둘다 이대로 끝나진 안을거같다"
"51" "Common" "1년 6개월 복선으로 조승민 복수심에 한번더 나올듯"
"52" "Common" "피해는 이갱이 더 쎄죠?"
"53" "Common" "이경우가 선빵치고 마이크로 대가리후려치기까지 했는데조승민이 과잉방어했다쳐도 처벌받는건 무리가 아닌데왜 이경우는 처벌 안받음?"
"54" "Common" "조승민 웃는거 진짜 소름;;"
"55" "Common" "브리트니 숏헤엌ㅋㅋㅋ"
"56" "Common" "추리한 베댓 머쓱; ㅋ"
"57" "Common" "끝 까지 안정 않할거같았던 엄나가 소년원에 그냥 가라고 함...ㅋㅋㅋ"
"58" "Common" "조승민 은팔찌 얻었주?"
"59" "Common" "작가님 1년 6개월 뒤에 꼭 조승민 출연시켜 주세요. 그때 경우가 제대로 족쳐버리게. 만약 자림이도 건들면 주영이도 족쳐버리게 해주세요."
"60" "Common" "작가의말 커여우심"
"61" "Common" "이겨우...뭐요?!제가말끊는걸얼많아싫어하시는지알아요?와진짜너무하"
"62" "Common" "1년 6개월 뒤면 다행히도 애들 졸업할때까진 안나오겠네요"
"63" "Common" "ㅋㅋㅋㅋㅋㅋㅋ인터넷 댓글 존똑."
"64" "Common" "\\\\\\\\\\\\\\\\\\◇\\\\\\\\\\\\\\\\\\\\\"
"65" "Common" "별거 아닌거 맞네 좀 도 위였으면 손자 못볼뻔 했자너"
"66" "Common" "기사 댓글 현실적이넼ㅋㅋㅋ"
"67" "Common" "이건 우리 나라 처벌 기준도 비판해야한다"
"68" "Common" "애들 고3 1학기 끝날때쯤되면 ㅈ승민 출소할거 같은데"
"69" "Common" "왜 이 웹툰은 정주행 7번짼데 더 재밌어지냐"
"70" "Common" "어머니...이제 엄마는 너밖에 없는데 하는말에ㅜ맴찢..ㅠㅜㅜㅜㅜㅜ"
"71" "Common" "작가의 말 뭔뎈ㅋㅋㅋㅎㅋㅎㅎㅋㅎㅎㅋ"
"72" "Common" "소년원ㄱ고곡"
"73" "Common" "이갱신발 나랑 같네"
"74" "Common" "근데 조승민이제나올때 되지않았나?1년지났고 6개월가까이 된것같은디"
"75" "Common" "뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝"
"76" "Common" "뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝뿝뿝뿝뿌뿝뿝뿝"
"77" "Common" "ㅋㅋ사이다 조승민 소년원가서 다시는 나오지 말았으면ㅋㅋ"
"78" "Common" "믿고 거르는 조씨"
"79" "Common" "현재시점으로 조승민 출소할 날 얼마 안남았네요. 징역 1년 6개월이면"
"80" "Common" "룰루랄라 치질~"
"81" "Common" "."
"82" "Common" "정주행 하는데 예고편 뭔가했더니 치질"
"83" "Common" "이경우 치질이래"
"84" "Common" "조승민 웃음 소름돗네;;;ㄷㄷ 개x끼"
"85" "Common" "1년 6개월이 뭐야 1년 6개월이 .."
"86" "Common" "엄마한테까지 손절당함ㅋㅋㅋㄲ"
"87" "Common" "중간에 경우 모자이크머야ㄷㄷ"
"88" "Common" "암제거수술완치될려했다가댓보고 고구마먹어 수술또 해야될듯"
"89" "Common" "<U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757><U+2757>"
"90" "Common" "하 진짜 유명한 개많...ㅋㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋ"
"91" "Common" "먼저 갑자기 선빵친건 이경우인데 빵가는건 조승민?ㅋㅋㅋ 말이되나 과잉대응이여도 이경우는 그냥 아무 징계없다고?"
"92" "Common" "To.존슨민- 만나서 불쾌했고 다시는 만나지 말자. From.연애혁명이 쵀애툰인 독자가-"
"93" "Common" "치질이래ㅋㅋㅋㅋㅋㅋ"
"94" "Common" "조승민..경우 엄마한테혼나게만들려고 경찰서간듯;"
"95" "Common" "너무 잔인하지만 개인적으로 조승민눈깔 노랭방에서 깨진 소주병으로 찌르고싶음 ㅈㅅ"
"96" "Common" "승민이 ㅠ 공주영팬건까지 좋았는데경우를건들면안됫었어"
"97" "Common" "피는 못속인다"
"98" "Common" "이경우 치질이레"
"99" "Common" "와 조승민은 수갑차면서 끝나고 이경우는엄마랑안으면서 끝나네 이게저둘의차이지"
"100" "Common" "작가님 ㅋㅋㅋㅋㅋㅋㅋ기사에 232원 광고뭔뎈ㅋㅋㅋㅋㅋㅋㅋ"
"101" "Common" "친구들:그거알아? 이경우 치질이래~ 예슬:(헉..!!)"
"102" "Common" "와 조승민 ㅅㄲ 수갑찬거 보고 미소지음"
"103" "Common" "저런놈이 1년6개월이 뭐야 댓글ㅋㅋㅋ"
"104" "Common" "야, 조드수(조승민 드디어 수갑)"
"105" "Common" "조승민 엄마가 자꾸 소년원 보내지 말라고 막았으면 엄청 고구마 였을듯"
"106" "Common" "조승민 엄마 사이다"
"107" "Common" "아니 2년형인대 볼래 저정도면 조승민이 술병가지고 안그랬으면 괜찬아도 1년6개월이 지나고 조승민은 도대체 뭘하고 사는건지 당신의 도덕책"
"108" "Common" "1년6개월이면 3학년 후반에 다시 등장하는거 아님..?"
"109" "Common" "아니그와중에 자동차 광고 뭔덲ㄱㅋ"
"110" "Common" "난 갠적으로 남율이랑 다시만나는거 찬성인데...."
"111" "Common" "경우 치질이라는 소문 하지만 개구라"
"112" "Common" "승민이 엄마 독고문 닮앗네"
"113" "Common" "첫번째 사이다 : 이경우가 조승민한테 ㅗ 날린 거두번째 사이다 : 조승민 엄마가 조승민 소년원에 보내라는거 ㅋㅋㅋㅋㅋ"
"114" "Common" "경우가입고있는 파란옷 뭔옷임"
"115" "Common" "생각해보니 이경우 이때도 공주영때문에 발벗고 나선건데 학겨에서 그 양아치 때렸다고 왕자림좋아한다 판결내는건 쫌..ㅋㅋ;"
"116" "Common" "브리티쉬 숏헤어는 입가쪽 아니 입과 코 가 들어가 잇다고 해야되나 살짝 눌려잇는 종 입니다!"
"117" "Common" "저희집 고양이도 브리티쉬 숏헤어에요 다른한마리는 스코티쉬 폴드구욧ㅎ"
"118" "Common" "아니이ㅠㅠㅠ 우리 경우좀 냅둬ㅓ어ㅠㅠㅠㅠ 우씨ㅣㅠㅠ"
"119" "Common" "예고펀:그거알아?이경우(존잘이래)"
"120" "Common" "근데 진짜 현실이면 경우가 선빵쳤는데 경우는 훈방? 특수폭행 피해자 가해자로 본건가"
"121" "Common" "3년이 지나도 고2인 마법"
"122" "Common" "이제 넘었습니다 과연 조승민은 뭘 할가여"
"123" "Common" "조승민 출소하고 이경우 해칠거 같음.."
"124" "Common" "그나마 조승민 엄마가 제대로 됐네 ㅋㅋㅋㅋㅋ 걍 소년원 보내버리래 ㅋㅋㅋㅋㅋㅋㅋ"
"125" "Common" "조승민 어머니 존경해요 ㅋㅋㅋㅋㅋㅋ 진짜 여기서 개사이다 캐릭터"
"126" "Common" "조승민엄마가 사이다냐? 이거 보는 연령층 초딩이야 뭐야;;; 애새끼를 저따위로 키웠으면 부모가 책임을져야지 아직 고딩들인데... 애만 저따위 취급하면되냐. 부모가 노답이네"
"127" "Common" "왜아무도 안물어보지? 15년7월8일에 누구인지 알려주신다고했는데"
"128" "Common" "승민아 너는 소년원이든 교도소에서든 평생살아도 모자랄애가 1년6개월이 뭐니?"
"129" "Common" "? 1년6개월지나면 요번년 2월달아녀? 뭐지..기분탓인가"
"130" "Common" "나 조승민 엄마가 박형사! 얘가 원래 착한 앤데 사춘기라 요즘 성질이 있어서 그론거니까 다른애들은 제가 알아서 할테니 일단 얜 보내줘요 얘 깜빵가면 전...하...진짜 못산다구요 이러면서 나왔으면 진짜 개발암이였을 듯"
"131" "Common" "사실 여자래"
"132" "Common" "김민채님 조승민 엄마가 나쁜건데 왜 좋게보는건지..?자기 아들이라고 일크게 안만드려 훈방조치 하라고 경찰서에서 민폐부리는건데 일 크게나야 승민찡이 형벌 더받음..."
"133" "Common" "볼때마다느끼는데 베댓에 벼ㅡ응신이있어"
"134" "Common" "조승민 어머니 사랑하비낟"
"135" "Common" "조승민 1년6개월에 나오면 뭔짓한다."
"136" "Common" "쨌든 갔고 한동안은 안온다"
"137" "Common" "엄마는 이제 너밖에 없는데..에서 코끝이 찡...ㅠㅠ"
"138" "Common" "ㅁㅊ;"
"139" "Common" "조승민저 ㅅㄲ는 뭘자꾸 쪼개;;;"
"140" "Common" "오랜만에 데이트보고싶따"
"141" "Common" "저거 방예슬인듯"
"142" "Common" "오우씨님 조승민옷에 bye라고써잇는게 의미가잇는게 아니라 브랜드 OBEY 따라한거 같은데 의미부여 ㄷㄷ"
"143" "Common" "ㅔ"
"144" "Common" "대한민국 사회상 ㅈㄴ잘반영했노"
"145" "Common" "앜ㅋㅋ 이갱 ㅗ 웃곀ㅋㅋ"
"146" "Common" "( <U+FF65>ω<U+FF65>)(っ<U+2584><U+FE3B><U+2587>〓<U+2584><U+FE3B>┻┳<U+2550>一/　 )( /￣∪나쁜놈들전부뚜씨뚜씨"
"147" "Common" "대한민국 현실반영이랑 이작가님은 ㅋㅋ 네이버댓글 수준도 다 아네 요즘사람임 ㅋㅋㅋ 인싸"
"148" "Common" "작가님 세번째줄 말 무슨말인지 모르겠어서 거꾸로 읽어보았던 사람 대놓고 손들어"
